job_id,job_title,company_name,company_url,posted_time,page_number
221024925535,Inside Sales Executive Sal 25k Inhand,Ada Tech Solution Pvt Ltd ,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,12
221024926056,Inside Sales Executive Sal 32k Inhand,Credicus,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,12
221024924822,Inside Sales Executive Sal 35k Inhand,MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,13
221024924048,Inside Sales Executive Sal 35k Inhand,MIT School of Distance Education(MITSDE),https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,13
141024006548,Business Development Executive - Interior Design,Kadiwa Studio,https://www.naukri.com/kadiwa-studio-jobs-careers-123867123,8 Days Ago,13
250924016778,"Lead Generation Specialist In IT B2B Process
",Denave,https://www.naukri.com/denave-jobs-careers-51811,26 Days Ago,13
181022007730,"Opening For lead generation B2B, Inside Sales Account manager role B2B",Denave,https://www.naukri.com/denave-jobs-careers-51811,26 Days Ago,13
171024922150,Telle caller / (Business Development Executive),Shobi Group,https://www.naukri.com/shobi-group-jobs-careers-124291104,5 Days Ago,13
181024006909,Business Development Executive,Engineered Food Concepts,https://www.naukri.com/engineered-food-concepts-jobs-careers-3205474,4 Days Ago,13
300924013593,Lead Generation Executive,Viva Composite Panel,https://www.naukri.com/viva-composite-panel-jobs-careers-4402148,22 Days Ago,13
270924918901,Lead Generation Executive,DDI,https://www.naukri.com/ddi-jobs-careers-124038968,25 Days Ago,13
300924010198,Lead Generation Executive,Versify Exhibits Pvt Ltd.,https://www.naukri.com/versify-exhibits-jobs-careers-124142772,22 Days Ago,13
250924508643,Lead Generation Executive - B2B QA Testing Services,Shravas Technologies,https://www.naukri.com/shravas-technologies-jobs-careers-6456162,27 Days Ago,14
260924501907,Lead Generation Executive,Analytics Liv Digital,https://www.naukri.com/analytics-liv-digital-jobs-careers-123794339,26 Days Ago,14
250924506638,Lead Generation Executive,WRP Solution,https://www.naukri.com/wrp-solution-jobs-careers-124269076,27 Days Ago,14
41024917901,Lead Generation Manager / Lead Generation Executive,Essvee Consultant,https://www.naukri.com/essvee-consultant-jobs-careers-123488705,18 Days Ago,15
191024006240,International Business Development Executive,BCM Group,https://www.naukri.com/bcm-group-jobs-careers-928550,3 Days Ago,15
141024006913,Walk-In Drive For Lead Generation (International Voice Process),On Direct Marketing Services,https://www.naukri.com/on-direct-marketing-services-jobs-careers-6969213,8 Days Ago,15
81024024388,Lead Generation Specialist,Appy Pie,https://www.naukri.com/appy-pie-jobs-careers-3339880,14 Days Ago,15
41024918198,Lead Generation Executive,Our Client,,18 Days Ago,15
240724005987,Fresher/Experienced- Inside Sales Executive/Business Development,Collabera,https://www.naukri.com/collabera-jobs-careers-1440014,Just Now,15
221024923221,"Business Development Executive, Inside Sales Sal upto 25k",Credicus,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,15
221024922311,"Business Development Executive, Inside Sales",Starconnect,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,16
91024020842,Business Development Executive (Inside Sales),Mantrras2success HR Solutions ,,1 Day Ago,16
141024010707,Lead Generation Specialist,"Talent Corner Hr Services
",,7 Days Ago,16
280924005274,Lead Generation Specialist,Wildnet Technologies,https://www.naukri.com/wildnet-technologies-jobs-careers-23056,24 Days Ago,16
130121002267,Lead Generation Specialist,Client of Vision Unlimited,,15 Days Ago,16
221024925868,Inside Sales Executive,MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Just Now,16
221024923567,Inside Sales Executive @MIT,MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,16
221024923473,"Inside Sales Executive, Telesales",MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,16
221024922441,"Urgent Vacancy Inside Sales Executive, Telesales",MIT,https://www.naukri.com/credicus-business-services-jobs-careers-123749799,Few Hours Ago,16
81024500928,Business Development Executive,Mobinius Technologies,https://www.naukri.com/mobinius-technologies-jobs-careers-1466606,14 Days Ago,17
71024000077,Business Development Executive - IN House Sales,Aarons Visions,https://www.naukri.com/aarons-visions-jobs-careers-4449626,1 Day Ago,17
260924501459,Inside Sales Representative/ Lead Generation,TMotions ,https://www.naukri.com/tmotions-jobs-careers-4172292,26 Days Ago,17
260924008013,Real Estate - Lead Generation Specialist,Mores Techno Pvt. Ltd.,https://www.naukri.com/mores-techno-jobs-careers-123896803,26 Days Ago,17
